YEAR,POP,B,D,CBR,CDR,LE,LMF,LMHS,LMC,LMP,FPC,SOPC,IOPC,PPOLX,HSAPC,EHSPC,AIOPC,DIOPC,PLE,DTF,DCFS,CMPLE,MTF,FCE,TF,FPU
1944,2639889428.534259,62757593.76133599,42871929.70587125,23.772811498465213,16.24004749686617,61.112335797658034,1.0911304347826087,1.9807248115644192,1.0256760368918922,0.9846,334.8,820.0,420.0,1.27,107.6,92.28992462576765,410.00000017864244,335.8548876259207,51.05939475043557,3.266351678861071,2.746204016708611,1.1894060524956442,12.066740147859482,1.0,3.266351678861071,0.2639889428534259
1945,2659569386.7564955,62787434.82152929,43107476.59929257,23.608120598087623,16.208442168852276,61.239711455937595,1.092608695652174,1.9827510709861982,1.025738921928209,0.98425,336.5,825.0,425.0,1.2875,108.5,93.10042839447927,415.000000119095,340.75144289028907,51.517281291084856,3.243288464154486,2.7373514884668557,1.1848271870891514,12.074382687356255,1.0,3.243288464154486,0.26595693867564957
1946,2679026351.6468935,62795525.295470454,43338560.405072615,23.43968182950787,16.17698175250529,61.367275744701544,1.094086956521739,1.9847885174368882,1.025797823051538,0.9839,338.2,830.0,430.0,1.3050000000000002,109.4,93.9154069747553,420.00000007939667,345.660157806284,51.998526027497746,3.219703993922936,2.728528623865512,1.1800147397250225,12.082036544682094,1.0,3.219703993922936,0.2679026351646894
1947,2698246182.307656,62784774.72086281,43564944.06010038,23.268734755390845,16.145652070502244,61.495002678094124,1.0955652173913042,1.9868365915650439,1.0258526042933924,0.98355,339.9,835.0,435.0,1.3225000000000002,110.3,94.73463662601753,425.0000000529311,350.57965780459125,52.49693060684264,3.1957730404351814,2.7197357966389286,1.1750306939315736,12.089700160685648,1.0,3.1957730404351814,0.2698246182307656
1948,2717217921.537126,62758181.271106996,43786442.04163697,23.09648437605063,16.114438851068318,61.62286900912995,1.0970434782608696,1.9888947619867916,1.0259031633501534,0.9832,341.6,840.0,440.0,1.34,111.2,95.55790479471666,430.0000000352874,355.5087152215858,53.00639543864067,3.171665308306782,2.710973236698034,1.1699360456135932,12.097372140547797,1.0,3.171665308306782,0.2717217921537126
1949,2735933667.3823256,62718666.24802575,44002920.402826086,22.924044904945898,16.083328674019718,61.75085418563748,1.0985217391304347,1.990962523887452,1.0259494311506796,0.98285,343.3,845.0,445.0,1.3575,112.1,96.38500955498083,435.00000002352493,360.4462349363765,53.52121520771587,3.1475375345014265,2.7022410476847005,1.1647878479228413,12.10505125113825,1.0,3.1475375345014265,0.2735933667382326
1950,2754388338.4240246,62668965.242445104,44214294.20074626,22.75240726523782,16.052309539636052,61.87894021241999,1.1,1.9930393976930794,1.0259913698401322,0.9824999999999999,345.0,850.0,450.0,1.375,113.0,97.21575907723178,440.00000001568327,365.39124119421746,54.036255598565965,3.123528939860056,2.6935392229551267,1.1596374440143404,12.1127364127452,1.0,3.123528939860056,0.2754388338424025
1951,2772579376.796834,62611561.66069085,44420523.28788149,22.58242349513041,16.02137116781147,62.00711145551629,1.1014782608695652,1.9951249278084255,1.026028969798107,0.98215,346.7,855.0,455.0,1.3925,113.9,98.0499711233702,445.0000000104555,370.34286555611476,54.54704441353663,3.099759067141196,2.684867660074556,1.1545295558646338,12.120426687330976,1.0,3.099759067141196,0.27725793767968343
1952,2790506421.0745106,62548651.45935692,44621607.18168051,22.414802914258114,15.990505108566833,62.135354414914985,1.1029565217391304,1.9972186814180042,1.0260622461418902,0.9818,348.4,860.0,460.0,1.4100000000000001,114.8,98.88747256720168,450.0000000069703,375.30033590992855,55.04980235521553,3.0763272763334073,2.6762261739120956,1.1495019764478447,12.128121264894897,1.0,3.0763272763334073,0.27905064210745106
1953,2808170971.970816,62482130.42509456,44817579.52878893,22.250116196181484,15.959704724579248,62.26365748471549,1.1044347826086955,1.999320247347104,1.0260912350370466,0.9814499999999999,350.1,865.0,465.0,1.4275000000000002,115.7,99.7280989388416,455.0000000046469,380.26296647583786,55.54143255293919,3.053313351356517,2.6676145084278904,1.1445856744706082,12.13581944908293,1.0,3.053313351356517,0.28081709719708164
